"","num_attributes","defense","tpr"
"315",5200,"subsample",0.29
"316",5250,"round",0.63
"317",5250,"noise",0.45
"318",5250,"subsample",0.29
"319",5300,"round",0.64
"320",5300,"noise",0.36
"321",5300,"subsample",0.29
"322",5350,"round",0.64
"323",5350,"noise",0.25
"324",5350,"subsample",0.29
"325",5400,"round",0.65
"326",5400,"noise",0.31
"327",5400,"subsample",0.29
"328",5450,"round",0.64
"329",5450,"noise",0.36
"330",5450,"subsample",0.29
"331",5500,"round",0.64
"332",5500,"noise",0.36
"333",5500,"subsample",0.29
"334",5550,"round",0.66
"335",5550,"noise",0.36
"336",5550,"subsample",0.29
"337",5600,"round",0.64
"338",5600,"noise",0.36
"339",5600,"subsample",0.29
"340",5650,"round",0.63
"341",5650,"noise",0.36
"342",5650,"subsample",0.29
"343",5700,"round",0.65
"344",5700,"noise",0.36
"345",5700,"subsample",0.29
"346",5750,"round",0.66
"347",5750,"noise",0.36
"348",5750,"subsample",0.29
"349",5800,"round",0.65
"350",5800,"noise",0.36
"351",5800,"subsample",0.29
"352",5850,"round",0.57
"353",5850,"noise",0.36
"354",5850,"subsample",0.29
"355",5900,"round",0.67
"356",5900,"noise",0.36
"357",5900,"subsample",0.29
"358",5950,"round",0.63
"359",5950,"noise",0.36
"360",5950,"subsample",0.29
"361",6000,"round",0.68
"362",6000,"noise",0.36
"363",6000,"subsample",0.29
"364",6050,"round",0.66
"365",6050,"noise",0.36
"366",6050,"subsample",0.29
"367",6100,"round",0.66
"368",6100,"noise",0.36
"369",6100,"subsample",0.29
"370",6150,"round",0.68
"371",6150,"noise",0.36
"372",6150,"subsample",0.29
"373",6200,"round",0.65
"374",6200,"noise",0.36
"375",6200,"subsample",0.29
"376",6250,"round",0.7
"377",6250,"noise",0.36
"378",6250,"subsample",0.29
"379",6300,"round",0.66
"380",6300,"noise",0.36
"381",6300,"subsample",0.29
"382",6350,"round",0.66
"383",6350,"noise",0.36
"384",6350,"subsample",0.29
"385",6400,"round",0.66
"386",6400,"noise",0.36
"387",6400,"subsample",0.29
"388",6450,"round",0.63
"389",6450,"noise",0.36
"390",6450,"subsample",0.29
"391",6500,"round",0.62
"392",6500,"noise",0.36
"393",6500,"subsample",0.29
"394",6550,"round",0.63
"395",6550,"noise",0.37
"396",6550,"subsample",0.29
"397",6600,"round",0.66
"398",6600,"noise",0.36
"399",6600,"subsample",0.29
"400",6650,"round",0.67
"401",6650,"noise",0.36
"402",6650,"subsample",0.29
"403",6700,"round",0.65
"404",6700,"noise",0.37
"405",6700,"subsample",0.29
"406",6750,"round",0.64
"407",6750,"noise",0.36
"408",6750,"subsample",0.29
"409",6800,"round",0.64
"410",6800,"noise",0.36
"411",6800,"subsample",0.29
"412",6850,"round",0.64
"413",6850,"noise",0.36
"414",6850,"subsample",0.29
"415",6900,"round",0.65
"416",6900,"noise",0.36
"417",6900,"subsample",0.29
"418",6950,"round",0.65
"419",6950,"noise",0.36
"420",6950,"subsample",0.29
"421",7000,"round",0.64
"422",7000,"noise",0.36
"423",7000,"subsample",0.29
"424",7050,"round",0.64
"425",7050,"noise",0.39
"426",7050,"subsample",0.29
"427",7100,"round",0.64
"428",7100,"noise",0.36
"429",7100,"subsample",0.29
"430",7150,"round",0.69
"431",7150,"noise",0.36
"432",7150,"subsample",0.29
"433",7200,"round",0.65
"434",7200,"noise",0.36
"435",7200,"subsample",0.29
"436",7250,"round",0.64
"437",7250,"noise",0.36
"438",7250,"subsample",0.29
"439",7300,"round",0.68
"440",7300,"noise",0.36
"441",7300,"subsample",0.29
"442",7350,"round",0.68
"443",7350,"noise",0.36
"444",7350,"subsample",0.29
"445",7400,"round",0.64
"446",7400,"noise",0.36
"447",7400,"subsample",0.29
"448",7450,"round",0.65
"449",7450,"noise",0.31
"450",7450,"subsample",0.29
"451",7500,"round",0.64
"452",7500,"noise",0.36
"453",7500,"subsample",0.29
"454",7550,"round",0.77
